id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;SUDESTE;2013-04-01 00:00:00;36376.46325
N;NORTE;2013-04-02 00:00:00;4367.13125
NE;NORDESTE;2013-04-02 00:00:00;10047.72166667
S;SUL;2013-04-02 00:00:00;11319.63604167
SE;SUDESTE;2013-04-02 00:00:00;37651.92179167
N;NORTE;2013-04-03 00:00:00;4364.78375
NE;NORDESTE;2013-04-03 00:00:00;10111.99979167
S;SUL;2013-04-03 00:00:00;11367.29254167
SE;SUDESTE;2013-04-03 00:00:00;37350.23420833
N;NORTE;2013-04-04 00:00:00;4362.31625
NE;NORDESTE;2013-04-04 00:00:00;10135.48
S;SUL;2013-04-04 00:00:00;11333.331875
SE;SUDESTE;2013-04-04 00:00:00;37404.31875
N;NORTE;2013-04-05 00:00:00;4317.92
NE;NORDESTE;2013-04-05 00:00:00;10186.17358333
S;SUL;2013-04-05 00:00:00;10620.43191667
SE;SUDESTE;2013-04-05 00:00:00;37350.65695833
N;NORTE;2013-04-06 00:00:00;4183.16375
NE;NORDESTE;2013-04-06 00:00:00;9729.21316667
S;SUL;2013-04-06 00:00:00;9171.02429167
SE;SUDESTE;2013-04-06 00:00:00;34470.31779167
N;NORTE;2013-04-07 00:00:00;3992.04208333
NE;NORDESTE;2013-04-07 00:00:00;9049.48725
S;SUL;2013-04-07 00:00:00;7931.64675
SE;SUDESTE;2013-04-07 00:00:00;31035.47016667
N;NORTE;2013-04-08 00:00:00;4261.15291667
NE;NORDESTE;2013-04-08 00:00:00;10094.42375
S;SUL;2013-04-08 00:00:00;10599.95395833
SE;SUDESTE;2013-04-08 00:00:00;36047.47991667
N;NORTE;2013-04-09 00:00:00;4314.97416667
NE;NORDESTE;2013-04-09 00:00:00;10196.61520833
S;SUL;2013-04-09 00:00:00;10885.36116667
SE;SUDESTE;2013-04-09 00:00:00;36535.55541667
N;NORTE;2013-04-10 00:00:00;4223.20458333
NE;NORDESTE;2013-04-10 00:00:00;10262.41779167
S;SUL;2013-04-10 00:00:00;11017.23120833
SE;SUDESTE;2013-04-10 00:00:00;36153.98545833
N;NORTE;2013-04-11 00:00:00;4198.45791667
NE;NORDESTE;2013-04-11 00:00:00;10228.42145833
